"","experiment","ReLOOPEN","ReLOOP","Loop","Rebar","SimpleDifference"
"1","1",0.0104261195811075,0.0109544065791748,0.0107164039872199,0.011351093614612,0.0117315218036829
"2","10",0.0207321645782183,0.0239505847500654,0.0207856764432886,0.0241490132702775,0.0275547447009375
"3","11",0.0262288307160388,0.0267556559321582,0.0264832399523257,0.0276481575555609,0.0280915582627826
"4","12",0.0215160528207293,0.0259369893958085,0.0221006599871676,0.0259169273761267,0.0283454386004198
"5","13",0.0287978336525016,0.0286400484495464,0.029780450556646,0.0323301855068727,0.0286575190372646
"6","14",0.0285369954429618,0.0287505691334547,0.0295575834395462,0.0288390171372478,0.0309809992792004
"7","15",0.0279210452646482,0.0290720473181814,0.0288931125750814,0.0293751591444397,0.0312540485314745
"8","16",0.0305916085405068,0.0307543223471305,0.0311839164056838,0.0310514255748162,0.0320932923425495
"9","17",0.0313259037121617,0.0320738252675764,0.0313321791109301,0.0319789912518195,0.0331254151469814
"10","18",0.0318577042886617,0.0322209184449795,0.032901254936372,0.0329737223624457,0.0342546212395433
"11","19",0.0345983498289464,0.0344413445492761,0.0367704146858197,0.0383839721835517,0.0343840136380491
"12","2",0.0126030826743736,0.0122983110739653,0.012520468121959,0.0170124691736435,0.0126690159219255
"13","20",0.0324912142589193,0.0334416059199388,0.0325358415521017,0.0336644475119771,0.0344246968295042
"14","21",0.0335923823776541,0.0339280762404103,0.0347357519544046,0.033945206754778,0.0363437673866361
"15","22",0.0346503663593916,0.0358162942054749,0.0344259962640034,0.0358469807947153,0.0371817580997111
"16","23",0.0335007138852772,0.0374194092818934,0.0352716994840388,0.0375250591089025,0.0403077734560448
"17","24",0.0299598015155112,0.0402772404846975,0.0294871777223461,0.0407606023799917,0.0411711445769512
"18","25",0.0378094643730494,0.0404158623666391,0.0382082357965551,0.0404140440157146,0.0412740728416511
"19","26",0.0303298834016774,0.0340164419212062,0.0303693991394177,0.0345934548643673,0.0424851443051003
"20","27",0.0381429607730287,0.0400458133493268,0.0384710816786088,0.0402244572867086,0.0437310131699773
"21","28",0.0427258908229387,0.0440997589457521,0.0429241382794633,0.0457948336121824,0.0439436706286237
"22","29",0.0448312054484743,0.0449004862064352,0.0472663148821739,0.0472375285744069,0.0447534830405757
"23","3",0.0163729484132822,0.0176628482645267,0.0162535190760155,0.0179926352133275,0.0184668024665196
"24","30",0.0502729089439737,0.0503870060240625,0.0538974687261898,0.0497838217010846,0.0516991576713536
"25","31",0.0496812750895217,0.0489254181930521,0.0498992771188673,0.0506555865884889,0.0541244617714487
"26","32",0.0628482753851444,0.0666155795782566,0.059845462075727,0.0664123773582395,0.0758463099803311
"27","33",0.121980728465158,0.130535601865933,0.153161604694284,0.142083082587963,0.196879766349938
"28","4",0.017542587234044,0.0194919859596017,0.0174939943240132,0.019535221995972,0.0214485063782876
"29","5",0.0187279263531501,0.0193604259046135,0.0193363964337822,0.0194532787099155,0.022662696940387
"30","6",0.0195143835220577,0.0215056313645469,0.019004091189394,0.0214606701233557,0.0245951089118864
"31","7",0.0187495059056181,0.0223740543116567,0.0190627301892472,0.0223862645287115,0.0259080213964979
"32","8",0.0261534232536397,0.025968041782977,0.0275929167518342,0.0270684468195437,0.0271288374625061
"33","9",0.0248845612709466,0.0268224531729598,0.0251190692055485,0.0275157466575306,0.0274567634885679
